feature,scores,log2FoldChange,pvalue,padj,symbol
ENSG00000145592,-10.177003,-0.5541377,2.51177745739669e-24,9.636799853793034e-22,RPL37
ENSG00000171223,10.152311,2.2009385,3.2360559867529943e-24,1.233751433087923e-21,JUNB
ENSG00000145741,-10.141509,-0.589617,3.6147127048796375e-24,1.3695016841068672e-21,BTF3
ENSG00000173915,-10.128135,-0.5942372,4.1448068561867806e-24,1.5605841417092325e-21,ATP5MK
ENSG00000172757,-10.127106,-0.46438712,4.188636640254866e-24,1.567351632688949e-21,CFL1
ENSG00000118181,-10.122477,-0.54153836,4.391620514980748e-24,1.6332248098013371e-21,RPS25
ENSG00000113407,10.111159,0.9206556,4.929745387999042e-24,1.820664010028239e-21,TARS1
ENSG00000113811,10.110645,1.084529,4.955699725410506e-24,1.820664010028239e-21,SELENOK
ENSG00000131013,10.084925,1.1750326,6.441463369237027e-24,2.3522594456613214e-21,PPIL4
ENSG00000168209,10.083896,2.300257,6.509292740048196e-24,2.362795309035818e-21,DDIT4
ENSG00000111678,10.05869,0.98180866,8.411016110630969e-24,3.034924914347254e-21,C12orf57
ENSG00000133983,-10.048402,-0.97645545,9.336937800972206e-24,3.349087766610261e-21,COX16
ENSG00000171858,-10.01548,-0.5623542,1.3032797839546539e-23,4.647265719032186e-21,RPS21
ENSG00000125995,-10.003134,-0.56191194,1.476487898768548e-23,5.23410642897372e-21,ROMO1
ENSG00000120742,9.988216,0.66691566,1.7164244462056336e-23,6.0492984595662384e-21,SERP1
ENSG00000156928,-9.98693,-0.8501733,1.7388322718778794e-23,6.0928481785529e-21,MALSU1
ENSG00000123349,-9.968155,-0.48476845,2.1009633703729227e-23,7.31944244532392e-21,PFDN5
ENSG00000090861,9.948607,0.90956694,2.5573761858244485e-23,8.858604971913843e-21,AARS1
ENSG00000112245,9.946035,0.7599801,2.6243157242798944e-23,9.03882925512062e-21,PTP4A1
ENSG00000080824,-9.941919,-0.5972775,2.735045208100603e-23,9.36698900959607e-21,HSP90AA1
ENSG00000162772,9.93266,3.2227862,3.0013858780553216e-23,1.0221405086619974e-20,ATF3
ENSG00000159140,-9.926488,-0.7784788,3.193053760691211e-23,1.0813392509460363e-20,SON
ENSG00000134108,9.9084835,0.89592,3.824066503656254e-23,1.2878393743618802e-20,ARL8B
ENSG00000090266,-9.9074545,-0.6772317,3.863639597256092e-23,1.2939777278788235e-20,NDUFB2
ENSG00000100804,-9.903339,-0.5185834,4.02602756094731e-23,1.3409547511926647e-20,PSMB5
ENSG00000175334,-9.90231,-0.64435714,4.0676693146680703e-23,1.3474210174090916e-20,BANF1
ENSG00000176894,-9.887393,-1.3078117,4.7216464791229057e-23,1.555551564771475e-20,PXMP2
ENSG00000167797,9.881734,0.7609855,4.996063500715141e-23,1.6370614775667632e-20,CDK2AP2
ENSG00000168522,9.852413,0.9424903,6.691763999790548e-23,2.180903451093028e-20,FNTA
ENSG00000104231,9.850099,1.5286577,6.847693123352246e-23,2.2197877510400525e-20,ZFAND1
ENSG00000130208,-9.84624,-0.7138169,7.11560705236016e-23,2.2943669356756412e-20,APOC1
ENSG00000135297,9.841353,1.2912501,7.469906162109796e-23,2.3958637123858928e-20,MTO1
ENSG00000134333,-9.831837,-0.9238336,8.2107221553046e-23,2.619609296486366e-20,LDHA
ENSG00000163743,9.80303,1.3615975,1.0925781256829424e-22,3.46759127752745e-20,RCHY1
ENSG00000134684,9.793771,0.74592143,1.1974481715144033e-22,3.7806307660953967e-20,YARS1
ENSG00000139620,9.785798,1.2863495,1.2956957718216336e-22,4.069626009951068e-20,KANSL2
ENSG00000070010,-9.782454,-0.7343482,1.3392333758052701e-22,4.184690103502045e-20,UFD1
ENSG00000161011,9.774738,0.82676166,1.445309099485023e-22,4.492984220599109e-20,SQSTM1
ENSG00000141552,-9.765479,-0.5387147,1.583624856202775e-22,4.897844650926328e-20,ANAPC11
ENSG00000229833,-9.761363,-0.94800836,1.6492298059864926e-22,5.0748559192434115e-20,PET100
ENSG00000113387,-9.758277,-0.51405954,1.7001923006655467e-22,5.2052503572749886e-20,SUB1
ENSG00000037241,-9.745417,-0.79021823,1.9298530756933366e-22,5.878681587711274e-20,RPL26L1
ENSG00000106355,-9.729984,-0.7692182,2.2462692875367936e-22,6.808329897059644e-20,LSM5
ENSG00000138326,-9.714553,-0.5828558,2.6139482941759127e-22,7.883329932569634e-20,RPS24
ENSG00000110619,9.679573,1.484901,3.682513071280181e-22,1.1051002963759072e-19,CARS1
ENSG00000235363,-9.650766,-0.79844093,4.878984447451705e-22,1.4569416661087432e-19,SNRPGP10
ENSG00000248643,9.645622,1.395093,5.129920880570892e-22,1.5243660483300338e-19,RBM14-RBM4
ENSG00000181924,-9.639449,-0.82315534,5.4479502227385255e-22,1.610972168547252e-19,COA4
ENSG00000243678,-9.598811,-0.46514595,8.087180357648335e-22,2.3797902237877883e-19,NME2
ENSG00000101294,9.596753,0.6307584,8.2502105257600955e-22,2.416036289183822e-19,HM13
ENSG00000198258,-9.585437,-0.61287344,9.206741747736832e-22,2.683189798106053e-19,UBL5
ENSG00000120533,-9.567946,-0.68779194,1.090497236728472e-21,3.1629115786240785e-19,ENY2
ENSG00000174021,-9.56486,-0.40855455,1.1235303085167673e-21,3.2432039891418054e-19,GNG5
ENSG00000124145,9.563831,1.1923654,1.1347598388354693e-21,3.26009510286101e-19,SDC4
ENSG00000197756,-9.562288,-0.5065291,1.1518126675470546e-21,3.2934779289639105e-19,RPL37A
ENSG00000167283,-9.56023,-0.44993985,1.1749447625832852e-21,3.343848664931275e-19,ATP5MG
ENSG00000130770,-9.545313,-0.5900208,1.3569727299916066e-21,3.843847192493514e-19,ATP5IF1
ENSG00000124766,-9.536568,-0.9341569,1.4763728241901977e-21,4.1626160106784e-19,SOX4
ENSG00000158042,-9.532196,-0.92810607,1.5399129734171175e-21,4.321665950720937e-19,MRPL17
ENSG00000224877,-9.513677,-0.8785244,1.8403970778980777e-21,5.141153477654542e-19,NDUFAF8
ENSG00000099795,-9.51162,-0.66246116,1.8771723261522867e-21,5.219830699037865e-19,NDUFB7
ENSG00000118503,9.456321,3.1580524,3.189693319178558e-21,8.829041977866895e-19,TNFAIP3
ENSG00000069399,9.446033,2.3269696,3.51916944384261e-21,9.696751478013419e-19,BCL3
ENSG00000142168,-9.443975,-0.5958147,3.588995962680691e-21,9.844404808223567e-19,SOD1
ENSG00000092853,-9.4241705,-1.492324,4.335189250371898e-21,1.1837605277851084e-18,CLSPN
ENSG00000210082,9.419284,0.6414926,4.541763972661952e-21,1.2346062343443716e-18,MT-RNR2
ENSG00000111897,9.411053,0.9102463,4.911907809534705e-21,1.3292631227954654e-18,SERINC1
ENSG00000166562,9.405909,1.0319241,5.158238925086944e-21,1.3897212684437575e-18,SEC11C
ENSG00000146733,9.403337,0.7819981,5.28594712097659e-21,1.4115807424074004e-18,PSPH
ENSG00000185651,-9.403337,-0.5102742,5.28594712097659e-21,1.4115807424074004e-18,UBE2L3
ENSG00000171863,-9.398707,-0.6112603,5.5237510719779846e-21,1.4686152027729536e-18,RPS7
ENSG00000183696,9.3819895,1.4728532,6.4739657158399094e-21,1.713735055582967e-18,UPP1
ENSG00000175130,-9.378131,-0.85999715,6.715242750993676e-21,1.769875218793416e-18,MARCKSL1
ENSG00000166441,-9.371444,-0.5335579,7.154701579807144e-21,1.8775361691183085e-18,RPL27A
ENSG00000162244,-9.31846,-0.393824,1.180410666633936e-20,3.0842807845121796e-18,RPL29
ENSG00000174886,-9.3179455,-0.54060733,1.1861464057696713e-20,3.0859660502726056e-18,NDUFA11
ENSG00000101361,-9.3092,-0.7195576,1.2879791323022368e-20,3.3365814966251835e-18,NOP56
ENSG00000142534,-9.305085,-0.45016846,1.3388460733631626e-20,3.4535961753702788e-18,RPS11
ENSG00000107984,-9.30097,-1.6675618,1.3916986193881645e-20,3.5747194325716585e-18,DKK1
ENSG00000116030,-9.300199,-0.55628574,1.4018356944011078e-20,3.585564470839694e-18,SUMO1
ENSG00000161547,-9.288625,-0.713102,1.5629503667835734e-20,3.980860852271153e-18,SRSF2
ENSG00000162298,9.285024,1.4044241,1.616712701635388e-20,4.100565157340401e-18,SYVN1
ENSG00000233927,-9.2762785,-0.53341657,1.7550104290187452e-20,4.432790716528638e-18,RPS28
ENSG00000166451,-9.271134,-0.74770314,1.8417602356774446e-20,4.6326001546278434e-18,CENPN
ENSG00000188612,-9.260846,-0.5000559,2.0281766241765598e-20,5.080414825659458e-18,SUMO2
ENSG00000119801,9.260332,1.3371359,2.0379720028043468e-20,5.0839434089710574e-18,YPEL5
ENSG00000221983,-9.256217,-0.57191163,2.118037503870762e-20,5.262021124882857e-18,UBA52
ENSG00000234741,9.253645,0.719163,2.169649581738276e-20,5.3682444079752064e-18,GAS5
ENSG00000078747,9.238728,1.286993,2.4944688084623278e-20,6.146837589438124e-18,ITCH
ENSG00000168906,-9.229467,-1.1943005,2.7197979531388634e-20,6.674956766045537e-18,MAT2A
ENSG00000108561,-9.215579,-0.50757647,3.096032015793378e-20,7.567675998603984e-18,C1QBP
ENSG00000124226,9.202719,0.7503714,3.4900553041065e-20,8.496532629704094e-18,RNF114
ENSG00000270170,-9.202205,-0.95190525,3.506807333527423e-20,8.503166150043955e-18,NCBP2AS2
ENSG00000197746,9.196546,0.58613086,3.6964086166320244e-20,8.927194977355246e-18,PSAP
ENSG00000153071,9.196032,1.9605017,3.714139464599007e-20,8.934421436687588e-18,DAB2
ENSG00000134070,9.195517,1.9969237,3.7319543868872814e-20,8.941792212597634e-18,IRAK2
ENSG00000120889,9.173912,1.2163633,4.56157407362686e-20,1.0886537746818372e-17,TNFRSF10B
ENSG00000172602,9.167225,3.8047159,4.8535319798483384e-20,1.153789235633045e-17,RND1
ENSG00000070081,9.161309,1.2163354,5.127152363865519e-20,1.2140736294732965e-17,NUCB2
ENSG00000167004,9.160023,0.4876087,5.188623189107173e-20,1.2238488291847772e-17,PDIA3
ENSG00000130766,9.1502495,2.6276784,5.68022877554269e-20,1.3346115819559004e-17,SESN2
ENSG00000272047,-9.134303,-0.7167405,6.582959100599463e-20,1.5407428483368294e-17,GTF2H5
ENSG00000116857,9.100352,0.6580728,9.003954364095847e-20,2.099271959988947e-17,TMEM9
ENSG00000163682,-9.094179,-0.41966915,9.530366141221384e-20,2.2134914372210694e-17,RPL9
ENSG00000074935,9.078747,1.7445899,1.0983196562196104e-19,2.5411847038311667e-17,TUBE1
ENSG00000058729,9.066658,1.3119974,1.2272292073174601e-19,2.828646666097989e-17,RIOK2
ENSG00000116285,9.0044155,0.99104285,2.1681801832814315e-19,4.978519489785496e-17,ERRFI1
ENSG00000143612,9.003644,0.46848428,2.183479005427145e-19,4.9947288237731365e-17,LTAP1
ENSG00000123545,-8.979981,-0.8035443,2.708134157479983e-19,6.148478819935547e-17,NDUFAF4
ENSG00000213886,8.979981,1.7561096,2.708134157479983e-19,6.148478819935547e-17,UBD
ENSG00000139343,-8.967635,-0.44428036,3.0294821867302645e-19,6.852394801395594e-17,SNRPF
ENSG00000165516,8.940115,0.8527539,3.887669983661118e-19,8.760842629723172e-17,KLHDC2
ENSG00000171928,8.921853,0.7678103,4.585497968541511e-19,1.0295122272408069e-16,TVP23B
ENSG00000125977,8.917738,0.512197,4.759089137465235e-19,1.0645432635572143e-16,EIF2S2
ENSG00000264350,-8.912594,-0.60161215,4.985230975162753e-19,1.1110283694242316e-16,SNRPGP2
ENSG00000198380,8.910279,0.96033335,5.090427190442362e-19,1.1303172375729873e-16,GFPT1
ENSG00000173457,-8.898962,-0.71349007,5.637131806886757e-19,1.247143405115578e-16,PPP1R14B
ENSG00000166913,-8.892532,-0.4204945,5.973191047815043e-19,1.3166867931909096e-16,YWHAB
ENSG00000116288,-8.886359,-0.44150066,6.314398673195016e-19,1.3868570042406113e-16,PARK7
ENSG00000025796,8.881729,0.8554603,6.582872770132554e-19,1.4406034817785753e-16,SEC63
