feature,scores,log2FoldChange,pvalue,padj,symbol
ENSG00000079246,-8.043752,-0.39088777,8.712917183024208e-16,3.9415546769980936e-13,XRCC5
ENSG00000198755,8.024795,0.29814357,1.0169603378489802e-15,4.566453238523506e-13,RPL10A
ENSG00000134825,8.017472,0.34645265,1.079432214001245e-15,4.811330983863344e-13,TMEM258
ENSG00000142541,7.988987,0.31264868,1.3605204645648663e-15,6.01995547747866e-13,RPL13A
ENSG00000120129,7.9875827,1.0359352,1.3761025480202514e-15,6.044779736118813e-13,DUSP1
ENSG00000122952,-7.982668,-0.82699805,1.4320367825952042e-15,6.245225735549546e-13,ZWINT
ENSG00000074842,7.956389,0.39146766,1.7713273021736881e-15,7.669720695033343e-13,MYDGF
ENSG00000173230,7.9482646,0.7482264,1.891421397420306e-15,8.131636431930606e-13,GOLGB1
ENSG00000168906,-7.9392376,-0.7652983,2.034277257407571e-15,8.684215004703488e-13,MAT2A
ENSG00000135269,7.934423,0.81195074,2.1147589319055277e-15,8.960136651168702e-13,TES
ENSG00000103202,-7.933621,-0.5171815,2.128474039110334e-15,8.960136651168702e-13,NME4
ENSG00000110321,-7.9308124,-0.5704832,2.177170298363896e-15,9.101923194242828e-13,EIF4G2
ENSG00000031698,7.9224873,0.74357355,2.328058231657976e-15,9.666065886635262e-13,SARS1
ENSG00000131467,-7.9197793,-0.58339316,2.3793272494601167e-15,9.74543503615019e-13,PSME3
ENSG00000168894,7.920481,0.45819178,2.3659294992723222e-15,9.74543503615019e-13,RNF181
ENSG00000170889,7.9041324,0.2982459,2.6980653374508628e-15,1.0976780046371399e-12,RPS9
ENSG00000011009,-7.8852754,-0.6839051,3.138420874227123e-15,1.268319566498493e-12,LYPLA2
ENSG00000105404,7.883169,0.61739784,3.191802094164271e-15,1.2813500075903571e-12,RABAC1
ENSG00000153048,-7.86341,-0.69673693,3.73815111046491e-15,1.4908090931925813e-12,CARHSP1
ENSG00000131238,-7.8616047,-0.537052,3.792437685759046e-15,1.5025737259675007e-12,PPT1
ENSG00000162496,7.8585954,0.6470365,3.884645161237016e-15,1.5192471292195268e-12,DHRS3
ENSG00000109606,-7.858796,-0.65905,3.878429920430132e-15,1.5192471292195268e-12,DHX15
ENSG00000184164,7.8565893,0.797898,3.947339404932767e-15,1.533870303766791e-12,CRELD2
ENSG00000166508,-7.850772,-0.666307,4.134840559152774e-15,1.5902028163898395e-12,MCM7
ENSG00000065911,7.850471,0.9771989,4.144773833114942e-15,1.5902028163898395e-12,MTHFD2
ENSG00000189403,-7.825697,-0.39696363,5.0485309885761114e-15,1.924760377336448e-12,HMGB1
ENSG00000105011,-7.821484,-1.0579767,5.22041808134276e-15,1.9778532729557297e-12,ASF1B
ENSG00000143742,-7.7959075,-0.36237046,6.394733560725147e-15,2.407716482717998e-12,SRP9
ENSG00000100243,-7.7922964,-0.59794587,6.580213466269334e-15,2.4622590130356837e-12,CYB5R3
ENSG00000140105,7.786178,0.835503,6.906659775954194e-15,2.5685571101752594e-12,WARS1
ENSG00000132646,-7.775747,-0.80087084,7.500363192847099e-15,2.7723446121170627e-12,PCNA
ENSG00000105640,7.766519,0.2718286,8.067246285491623e-15,2.9638085004861617e-12,RPL18A
ENSG00000184009,-7.7460575,-0.8143943,9.478952806085849e-15,3.461473735856133e-12,ACTG1
ENSG00000101361,-7.720581,-0.38552317,1.158005406003699e-14,4.203420940511271e-12,NOP56
ENSG00000082153,-7.7103505,-0.48449108,1.2547277177368807e-14,4.52740116199357e-12,BZW1
ENSG00000149923,-7.7017245,-0.36848643,1.3424208593783376e-14,4.815160359447068e-12,PPP4C
