"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","PlotGene","Regulation","minusLog10Padj"
"92979",308.520956720834,-1.02077909272103,0.191087824299029,-5.34193686314433,9.19586863043017e-08,2.01591803424032e-06,"92979","Down",5.69552712996501
"2625",823.54965657384,-1.33345531568206,0.25000450518516,-5.33372514505078,9.62181305994703e-08,2.08650798022185e-06,"2625","Down",5.6805799499124
"123096",576.194504077284,-1.03222245395259,0.193555635940662,-5.33294961387243,9.66301309818711e-08,2.09221356018067e-06,"123096","Down",5.67939398745568
"6640",82.1729180098549,-1.04584494677169,0.196391484463814,-5.32530699906385,1.007826761143e-07,2.17067113984719e-06,"6640","Down",5.66340596787125
"117145",433.819532626998,-1.2055098551986,0.228044307710548,-5.28629662937578,1.24817437596414e-07,2.60614358559408e-06,"117145","Down",5.58400166049092
"51386",5620.28549110404,-1.01586254444975,0.192336709144262,-5.28168829013186,1.27998840964779e-07,2.65203880742395e-06,"51386","Down",5.57642012516667
"93589",137.144323903386,-1.24118681280802,0.235082720709418,-5.27978751080661,1.29333786961711e-07,2.67264466821465e-06,"93589","Down",5.57305877745431
"283149",4548.12328650978,-1.20206862704104,0.227719246604067,-5.27873091522678,1.30081664194684e-07,2.68415204884538e-06,"283149","Down",5.57119288637779
"54910",202.120314911225,-1.27866339596501,0.242633833620586,-5.26993031798069,1.36475559081945e-07,2.80783976020423e-06,"54910","Down",5.55162768046132
"51084",200.685072323272,-1.19035043887655,0.226671627965697,-5.2514311101021,1.50921979423645e-07,3.05967352817235e-06,"51084","Down",5.51432491092931
"85442",49.1208763883874,-2.98141684353571,0.567759099746464,-5.25120045608618,1.51111117887248e-07,3.05967352817235e-06,"85442","Down",5.51432491092931
"4753",618.111397947498,-1.47753136231435,0.281676234327713,-5.24549529654437,1.55863036421096e-07,3.14397011470362e-06,"4753","Down",5.50252159083905
"401612",100.125221813753,-1.22666314646424,0.234176052540826,-5.23820917277777,1.62142232953079e-07,3.24561632116334e-06,"401612","Down",5.4887028213706
"83888",2753.73315271843,-2.01835013280982,0.38529199736722,-5.23849482107497,1.61891518464153e-07,3.24561632116334e-06,"83888","Down",5.4887028213706
"2941",14.0892246301878,-1.30236679398346,0.248747860083269,-5.23569044391974,1.64369240764218e-07,3.26811023030128e-06,"2941","Down",5.48570330354592
"79007",101.266820073834,-2.46665108277683,0.473017977302445,-5.21470895639906,1.84106065318702e-07,3.6132100975676e-06,"79007","Down",5.44210678474766
"6441",4.23209836233772,-2.64209864934883,0.508046897645209,-5.2005014922735,1.98751523292334e-07,3.86287192988088e-06,"6441","Down",5.41308969026782
"5654",7.03441775475683,-2.89683166491691,0.557380551240189,-5.19722415586867,2.02286386291087e-07,3.9099426412137e-06,"5654","Down",5.40782961364943
"65108",1175.70563128838,-1.33541653566966,0.256943090036773,-5.19732418364915,2.02177605173197e-07,3.9099426412137e-06,"65108","Down",5.40782961364943
"3337",2932.01408986875,-1.20098207789589,0.231387759498711,-5.19034403763517,2.099058779184e-07,4.04054437877995e-06,"3337","Down",5.39356011885645
"3164",1360.6819243036,-2.50606049262587,0.484070179938237,-5.17706026210004,2.25409424764064e-07,4.28613428522954e-06,"3164","Down",5.36793422656983
"25992",156.096860940255,-1.31032990629289,0.253574324485488,-5.16743920722889,2.37323122152308e-07,4.46979582245886e-06,"25992","Down",5.34971231472146
"11043",124.916385425123,-1.36950179674034,0.265140377392445,-5.1651951702297,2.40188168204451e-07,4.50617375114679e-06,"11043","Down",5.34619206656038
"284486",6.88249508396029,-2.23653652059688,0.433124555162823,-5.16372598583358,2.42082000408453e-07,4.52960888114458e-06,"284486","Down",5.34393929646266
"401647",127.891184431128,-1.25353258331456,0.243150785714456,-5.15537130439975,2.53128842911346e-07,4.69191132281251e-06,"401647","Down",5.32865020465053
"285601",12.4502077351848,-1.79291095306682,0.348128060039311,-5.15014777281775,2.60281304271754e-07,4.79354244774139e-06,"285601","Down",5.31934342251441
