"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","PlotGene","Regulation","minusLog10Padj"
"90381",109.624869245018,3.78423770577929,0.509814050274791,7.42278033282837,1.14686904037856e-13,1.46507306867269e-11,"90381","Up",10.8341407148798
"3782",149.126988327799,3.97819405160632,0.536255218565277,7.41847149245423,1.18479671421248e-13,1.49988859712736e-11,"3782","Up",10.8239409965774
"10403",178.466927183045,3.21294535065435,0.433325592302401,7.41462172493188,1.21972437783029e-13,1.53031847832779e-11,"10403","Up",10.8152181776876
"9088",213.968655323151,3.46480515759435,0.467583687869243,7.41002145173906,1.26278988796059e-13,1.57032951377188e-11,"9088","Up",10.8040092068282
"9232",391.857527637369,3.04811835344682,0.411669950618013,7.40427701577654,1.31866900646127e-13,1.62543305954331e-11,"9232","Up",10.7890309114152
"653820",101.691966070465,2.44051532202121,0.32979734097211,7.40004547892214,1.36137864718218e-13,1.66348632610469e-11,"653820","Up",10.778980764691
"3832",524.502724269703,3.42743238881615,0.463740189748255,7.39084613450639,1.45897372496737e-13,1.7673705847622e-11,"3832","Up",10.7526723774639
"2308",1202.64384375085,-0.97744689445504,0.132436337415579,-7.38050382190697,1.57691650071846e-13,1.8939171511193e-11,"2308","Not significant",10.7226390230089
"29071",363.369939464104,1.91503015911187,0.259846698164628,7.36984603859999,1.70825203385054e-13,2.03426759149728e-11,"29071","Up",10.6915919197187
"51203",604.674715560855,3.04538075926673,0.413362705475746,7.36733314090768,1.74075102847575e-13,2.0555490295917e-11,"51203","Up",10.6870721598337
"26010",778.498233394964,2.5935005655811,0.352528852618905,7.35684624482285,1.88306031818904e-13,2.20506363259937e-11,"26010","Up",10.6565788733671
"29128",305.566063775111,2.67764642219896,0.364404798441979,7.3479998991432,2.01194651245596e-13,2.33651837958936e-11,"29128","Up",10.6314307983662
"7150",2254.21232021289,1.90911737026084,0.259958763641881,7.34392387282943,2.07421130109596e-13,2.38908337729512e-11,"7150","Up",10.6217686934199
"2171",362.524369175575,2.50820970081476,0.341805204426107,7.33812612662251,2.1660500368037e-13,2.47458009082647e-11,"2171","Up",10.6064984855016
"5831",187.823645082771,3.63445554351681,0.497110667353457,7.31115983261051,2.64846269312066e-13,3.00130627126867e-11,"5831","Up",10.5226896843036
"8438",96.4432435219499,3.28686390933657,0.450026856439378,7.30370612843488,2.79947462939802e-13,3.14705739938408e-11,"8438","Up",10.5020953358893
"1111",222.211260401694,2.90672600124764,0.398340925366922,7.29708100810927,2.9407775421097e-13,3.25384299383665e-11,"1111","Up",10.487603406702
"91010",929.670124781204,-1.22066701848767,0.167257523201601,-7.29812922684718,2.91796320162686e-13,3.25384299383665e-11,"91010","Down",10.487603406702
"220042",123.961008201961,1.58900572977788,0.218009079179685,7.28871355154989,3.12928577615665e-13,3.43536904113697e-11,"220042","Up",10.4640266024413
"81567",28633.3854434387,4.11499994264458,0.565233763047901,7.2801736408231,3.3339077729302e-13,3.63163349032676e-11,"81567","Up",10.4398979875629
"3707",2217.67287733895,-1.12928034405866,0.155180042291745,-7.27722668057773,3.40752432292086e-13,3.65515509814381e-11,"3707","Down",10.4370941900224
"578",1207.96202602188,1.59540768958749,0.219229285101728,7.27734749874854,3.40447508221436e-13,3.65515509814381e-11,"578","Up",10.4370941900224
"55450",48.7904484347015,-1.96422543179703,0.270386023997178,-7.26452278397913,3.74357523769747e-13,3.98520600303976e-11,"55450","Down",10.3995492241622
"57636",78.5488702938237,2.56012679452355,0.352483035196565,7.26312060123935,3.78260390472523e-13,3.99647744881195e-11,"57636","Up",10.3983226333094
"79075",51.9146975363736,3.57049715919801,0.49179042586999,7.26020062891975,3.86516593779217e-13,4.05323222073549e-11,"79075","Up",10.3921985136294
"85477",36.0523172974105,4.43593165778012,0.611931977725008,7.24906005773988,4.19673782224274e-13,4.36833776875222e-11,"85477","Up",10.3596837884732
"51659",203.007986179102,3.30648163516233,0.461804506744556,7.15991634311029,8.07263089398293e-13,8.34092715604766e-11,"51659","Up",10.0787856716194
