"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"ENSG00000150527","OK",0.000505058790218244,3.287693465921,0.0179043935404186,"ENSG00000150527",0.00125782720596639
"ENSG00000106397","OK",0.000507198455932831,3.28650300603604,0.0207164871911891,"ENSG00000106397",0.0012629348107025
"ENSG00000175931","OK",0.000508425088808685,3.2858226309146,0.0205083215758188,"ENSG00000175931",0.00126576755437177
"ENSG00000007202","OK",0.00050858294745332,3.2857351820043,0.0206165015740808,"ENSG00000007202",0.00126593896773339
"ENSG00000128573","OK",0.000508932819056529,3.28554145324065,0.02059766785725,"ENSG00000128573",0.00126658818642887
"ENSG00000163808","OK",0.00050903435697005,3.28548525336686,0.0205075073495267,"ENSG00000163808",0.001266619254581
"ENSG00000213445","OK",0.00050973336563808,3.28509864278884,0.0178891528794109,"ENSG00000213445",0.00126813672546273
"ENSG00000140262","OK",0.000509904010653456,3.28500433626582,0.0206244930166013,"ENSG00000140262",0.00126833940950054
"ENSG00000092871","OK",0.000510360689075773,3.2847520977451,0.0206717964537665,"ENSG00000092871",0.00126925338008825
"ENSG00000171444","OK",0.000511849230156872,3.2839313752207,0.0206140720742473,"ENSG00000171444",0.00127273279729391
"ENSG00000005448","OK",0.000514806873609605,3.28230718218523,0.0203024583138894,"ENSG00000005448",0.00127986333916263
"ENSG00000115839","OK",0.000515520812651876,3.2819164158761,0.0206046967294977,"ENSG00000115839",0.0012814142814309
"ENSG00000212802","OK",0.000519813274687753,3.27957749003225,0.0200112281193586,"ENSG00000212802",0.00129185815234735
"ENSG00000139438","OK",0.00052179074852551,3.27850598916712,0.0178530123873912,"ENSG00000139438",0.00129654608949656
"ENSG00000020577","OK",0.00052271221435558,3.27800797263895,0.0191163860225427,"ENSG00000020577",0.00129860887769073
"ENSG00000099875","OK",0.000524688512110101,3.27694259408738,0.0201288210089123,"ENSG00000099875",0.00130329107714669
"ENSG00000168395","OK",0.000530487756381173,3.27383764544251,0.0205120039872515,"ENSG00000168395",0.00131746592614099
"ENSG00000132842","OK",0.000530788135094591,3.27367767774347,0.0205869975755118,"ENSG00000132842",0.00131798178167779
"ENSG00000153339","OK",0.000535487963797145,3.27118561384534,0.0178125922488552,"ENSG00000153339",0.0013294196734311
"ENSG00000116663","OK",0.000538473572217649,3.26961299605363,0.0204459284177241,"ENSG00000116663",0.00133638114354736
"ENSG00000129071","OK",0.000538479950338881,3.26960964513031,0.0205993636841831,"ENSG00000129071",0.00133638114354736
"ENSG00000133627","OK",0.000541962607122153,3.26778539485251,0.0204435407895987,"ENSG00000133627",0.00134478963033817
"ENSG00000172466","OK",0.000548329055060213,3.26447843470852,0.0205443567773718,"ENSG00000172466",0.00136034958139219
"ENSG00000102805","OK",0.000549466171446968,3.26389151634012,0.0204270246021639,"ENSG00000102805",0.00136293291881588
"ENSG00000113083","OK",0.000550547579204963,3.26333439289569,0.0205581916235232,"ENSG00000113083",0.00136537719599515
"ENSG00000113946","OK",0.000551252330729633,3.26297186092709,-9.64320154290938e-05,"ENSG00000113946",0.00136688666317426
"ENSG00000177383","OK",0.000552862788821502,3.26214502958857,0.0205575407840481,"ENSG00000177383",0.00137064100495176
"ENSG00000243989","OK",0.00055344966054074,3.26184427517387,0.0200201443814167,"ENSG00000243989",0.00137185683546026
"ENSG00000182902","OK",0.0005562088939959,3.26043419027983,0.0204421911728992,"ENSG00000182902",0.00137845602009125
"ENSG00000158691","OK",0.000557712040416376,3.2596687382119,0.019006733950002,"ENSG00000158691",0.00138194047924079
"ENSG00000125454","OK",0.000563958702992003,3.2565080286659,0.0204206154889286,"ENSG00000125454",0.0013971755151812
"ENSG00000184209","OK",0.000568545571504007,3.25420769062782,0.0203852818308689,"ENSG00000184209",0.00140829391562199
"ENSG00000135318","OK",0.000569551226922009,3.25370564303908,0.0203407787445343,"ENSG00000135318",0.00141053928269402
"ENSG00000104267","OK",0.000570140485039548,3.25341185169575,0.0204952914009179,"ENSG00000104267",0.00141175280618341
"ENSG00000168827","OK",0.000580627372485087,3.24822972202751,0.0203795756978318,"ENSG00000168827",0.00143746964645003
"ENSG00000005812","OK",0.000581576055511463,3.24776520339893,0.0194145742955055,"ENSG00000005812",0.00143931725031139
"ENSG00000047346","OK",0.000581550344938496,3.24777778323723,0.0200088226204986,"ENSG00000047346",0.00143931725031139
"ENSG00000160007","OK",0.000585912834584986,3.24565059531532,0.0200360373580768,"ENSG00000160007",0.00144979788557799
"ENSG00000052749","OK",0.000596253951022599,3.2406660648287,0.0202640174589536,"ENSG00000052749",0.00147512957825612
"ENSG00000198825","OK",0.000596488798425876,3.24055379607704,0.0176413107094271,"ENSG00000198825",0.00147545394434978
"ENSG00000110841","OK",0.00059681020845426,3.24040021225235,0.0202651963137244,"ENSG00000110841",0.00147599227870717
"ENSG00000162614","OK",0.000604065817188687,3.23695334086067,0.0198322685123951,"ENSG00000162614",0.00149367665470701
"ENSG00000117262","OK",0.00060539367332135,3.23632666881543,0.019913353131752,"ENSG00000117262",0.00149669984628013
"ENSG00000163694","OK",0.000607289696484353,3.23543405173079,0.0202147988852648,"ENSG00000163694",0.0015011264082546
"ENSG00000122299","OK",0.000613024201056172,3.23274992009814,0.0203113400386043,"ENSG00000122299",0.0015150379168761
"ENSG00000088836","OK",0.000613233394125937,3.23265244281873,0.0202975756944875,"ENSG00000088836",0.0015152916199884
"ENSG00000188130","OK",0.0006173129198429,3.23075762765538,0.0202924622720686,"ENSG00000188130",0.00152510711463011
"ENSG00000160408","OK",0.00062870721815686,3.22552593290599,0.0199934207354097,"ENSG00000160408",0.00155298762831626
"ENSG00000101596","OK",0.000629503869431498,3.22516343293289,0.020176229389233,"ENSG00000101596",0.00155468545492693
"ENSG00000197479","OK",0.000631634762672195,3.22419589088799,0.0200302104632552,"ENSG00000197479",0.00155967729678587
"ENSG00000176371","OK",0.000635777684373098,3.22232337209579,0.0201937893781525,"ENSG00000176371",0.00156963478646738
"ENSG00000196177","OK",0.000644621930779967,3.21836334869355,0.0202165803559248,"ENSG00000196177",0.00159119363441227
"ENSG00000111554","OK",0.000651063600545865,3.21551052436019,0.0189414052574114,"ENSG00000111554",0.00160681547641226
"ENSG00000113597","OK",0.000658416829638172,3.21228566531382,0.0200687591935999,"ENSG00000113597",0.00162468122275221
"ENSG00000164031","OK",0.000666097091858217,3.2089526734407,0.0197848900671138,"ENSG00000164031",0.00164334760407622
"ENSG00000152133","OK",0.000672515065720294,3.20619455966097,0.019160273012462,"ENSG00000152133",0.00165889382236208
"ENSG00000143486","OK",0.00067324170222428,3.20588382069583,0.0201830951067254,"ENSG00000143486",0.00166039825398577
"ENSG00000100422","OK",0.000678304550865881,3.20372729148717,0.0201036786839402,"ENSG00000100422",0.00167259459552105
"ENSG00000145029","OK",0.000679572581552592,3.20318949709299,0.0200398408026508,"ENSG00000145029",0.001675430893989
"ENSG00000145349","OK",0.000680561285540961,3.20277081198522,0.0201673968788777,"ENSG00000145349",0.00167757767144698
"ENSG00000072163","OK",0.000685185510522702,3.20082001595654,-0.000103779216604707,"ENSG00000072163",0.00168780628960242
"ENSG00000172062","OK",0.000685185510522702,3.20082001595654,-0.000103779216604707,"ENSG00000172062",0.00168780628960242
"ENSG00000235413","OK",0.000685185510522702,3.20082001595654,-0.000103779216604707,"ENSG00000235413",0.00168780628960242
"ENSG00000237148","OK",0.000685185510522702,3.20082001595654,-0.000103779216604707,"ENSG00000237148",0.00168780628960242
"ENSG00000132846","OK",0.000685844563251414,3.20054297432594,0.0190777248178475,"ENSG00000132846",0.00168913718149348
"ENSG00000033011","OK",0.000686687793836573,3.20018886890365,0.0201478617776135,"ENSG00000033011",0.0016909211377662
"ENSG00000178950","OK",0.000694475413685513,3.19693736551908,0.020012447569474,"ENSG00000178950",0.00170980159405384
"ENSG00000100577","OK",0.000697062159133798,3.19586477880446,0.0200501554125181,"ENSG00000100577",0.0017158731549602
"ENSG00000134184","OK",0.000701466383617905,3.19404699560318,0.0197973579738966,"ENSG00000134184",0.00172641570759603
"ENSG00000162222","OK",0.000706425893321372,3.19201258088754,0.020045732395691,"ENSG00000162222",0.00173832101742385
"ENSG00000167772","OK",0.000709586805306953,3.19072281966069,0.0197224684299794,"ENSG00000167772",0.00174579711674118
"ENSG00000149541","OK",0.000710167351229584,3.19048651280233,0.0197937657685314,"ENSG00000149541",0.00174692325087139
"ENSG00000130717","OK",0.000718484250215569,3.18712058907182,0.0199938436307963,"ENSG00000130717",0.00176707616994917
"ENSG00000088899","OK",0.000719534941998858,3.18669792295031,0.0193989687621966,"ENSG00000088899",0.00176935433610819
"ENSG00000107872","OK",0.000732840750771904,3.18139399553454,0.0199240824593921,"ENSG00000107872",0.00180176214316833
"ENSG00000188002","OK",0.00073323173226917,3.18123948974152,0.0198588400607358,"ENSG00000188002",0.00180241184377193
"ENSG00000135452","OK",0.00073444518422354,3.18076044787405,0.0198558145150389,"ENSG00000135452",0.00180508274671011
"ENSG00000140534","OK",0.000734641864839471,3.1806828717605,0.019642781933361,"ENSG00000140534",0.00180525418859913
"ENSG00000100292","OK",0.000738030064034799,3.17934947109026,0.0197990403895405,"ENSG00000100292",0.00181326681650837
"ENSG00000214022","OK",0.000738859608082742,3.17902386987487,0.0198472454918884,"ENSG00000214022",0.00181499139995869
"ENSG00000169174","OK",0.000739191450361622,3.1788937140298,0.0199689343232243,"ENSG00000169174",0.00181549300612905
"ENSG00000188811","OK",0.000739525080522478,3.17876291120372,0.0199124245645274,"ENSG00000188811",0.00181599882946671
"ENSG00000143319","OK",0.000741023576889773,3.17817608144669,0.0199975003836075,"ENSG00000143319",0.00181936446299037
"ENSG00000136811","OK",0.00074872117031493,3.17517873533613,0.0198750901385943,"ENSG00000136811",0.00183794635923183
