miRTarBase ID,miRNA,Species (miRNA),Target Gene,Target Gene (Entrez ID),Species (Target Gene),Experiments,Support Type,References (PMID)
MIRT2690151,hsa-miR-28-5p,hsa,SACM1L,22908.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2690155,hsa-miR-4498,hsa,SACM1L,22908.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1324714,hsa-miR-576-3p,hsa,SACM1L,22908.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2458749,hsa-miR-324-3p,hsa,SAMD11,148398.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1325097,hsa-miR-4470,hsa,SAMD12,401474.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2096543,hsa-miR-140-3p,hsa,SAMD8,142891.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2458787,hsa-miR-3135b,hsa,SAMD8,142891.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2616785,hsa-miR-361-3p,hsa,SAMD8,142891.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2616809,hsa-miR-4470,hsa,SAMD8,142891.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2616889,hsa-miR-409-3p,hsa,SAMD9,54809.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2616914,hsa-miR-885-5p,hsa,SAMD9,54809.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2616990,hsa-miR-2355-5p,hsa,SAMHD1,25939.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2458802,hsa-miR-28-5p,hsa,SAMHD1,25939.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2617055,hsa-miR-4511,hsa,SAP130,79595.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2617139,hsa-miR-3125,hsa,SAP30L,79685.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2617157,hsa-miR-2355-3p,hsa,SAR1A,56681.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2096727,hsa-miR-324-3p,hsa,SAR1A,56681.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2096735,hsa-miR-409-3p,hsa,SAR1A,56681.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2617189,hsa-miR-4677-5p,hsa,SAR1A,56681.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2096762,hsa-miR-1262,hsa,SAR1B,51128.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2096770,hsa-miR-140-3p,hsa,SAR1B,51128.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2096824,hsa-miR-491-5p,hsa,SAR1B,51128.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1326170,hsa-miR-654-5p,hsa,SAR1B,51128.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2321229,hsa-miR-3120-5p,hsa,SART3,9733.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2617445,hsa-miR-28-3p,hsa,SASH1,23328.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2617451,hsa-miR-3135b,hsa,SASH1,23328.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2617472,hsa-miR-409-3p,hsa,SASH1,23328.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2617482,hsa-miR-4511,hsa,SASH1,23328.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2394042,hsa-miR-654-5p,hsa,SASH1,23328.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2617562,hsa-miR-140-3p,hsa,SATB2,23314.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1326823,hsa-miR-3120-5p,hsa,SBF2,81846.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2617643,hsa-miR-576-3p,hsa,SBF2,81846.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1326976,hsa-miR-654-5p,hsa,SBK1,388228.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2617675,hsa-miR-140-3p,hsa,SBNO1,55206.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2097109,hsa-miR-2355-5p,hsa,SBNO1,55206.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2617692,hsa-miR-324-3p,hsa,SBNO1,55206.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2617698,hsa-miR-361-3p,hsa,SBNO1,55206.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1327563,hsa-miR-3125,hsa,SCAF11,9169.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1327728,hsa-miR-28-5p,hsa,SCAF4,57466.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1327825,hsa-miR-3135b,hsa,SCAI,286205.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2618014,hsa-miR-140-3p,hsa,SCAMP1,9522.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2097371,hsa-miR-3120-5p,hsa,SCAMP1,9522.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2618070,hsa-miR-4511,hsa,SCAMP1,9522.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1328471,hsa-miR-1262,hsa,SCARB2,950.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT2097539,hsa-miR-409-3p,hsa,SCARB2,950.0,hsa,CLIP-seq,Functional MTI (Weak),
MIRT1328661,hsa-miR-4511,hsa,SCARB2,950.0,hsa,CLIP-seq,Functional MTI (Weak),
