SYM,lfc,padj,dir
AC005077.7,-0.004000640255402685,1.0,ns
AC005077.8,0.0,1.0,ns
AC005082.12,-0.15761133453543408,0.871085767540095,ns
AC005083.1,0.28511469085995145,0.6208111571386364,ns
AC005094.2,0.023330095023932795,0.6431249297781559,ns
AC005102.1,0.12652637183962612,0.9117968612702364,ns
AC005104.3,0.0,1.0,ns
AC005105.2,0.0,1.0,ns
AC005150.1,0.01579179712398768,0.6548998822125052,ns
AC005154.6,-0.19760066624555028,0.18095499200197007,ns
AC005154.7,-0.17545758876070017,0.4486957445537704,ns
AC005154.8,0.08618086228562231,0.20201393205804566,ns
