entrez,lfc,padj,SYM,dir
10165,-0.13744648739243548,0.2713073608859879,SLC25A13,ns
10166,0.25611437668423154,0.21838135016260893,SLC25A15,ns
10168,0.08045446440679882,0.6910381860274522,ZNF197,ns
10169,0.09722663251298691,0.5670475792143111,SERF2,ns
1017,1.0169780676571483,0.0002069856170638302,CDK2,up
10170,0.8428287712184854,0.14250360072596566,DHRS9,ns
10171,0.39003985943386876,0.050090438016954245,RCL1,ns
10172,-0.6355745597966509,0.02383998637430995,ZNF256,down
10174,-1.165643932278746,0.0006935250723316934,SORBS3,down
10175,0.005011853313057202,0.9757608711443745,CNIH1,ns
10178,-0.28723123954971186,0.4376720196712614,TENM1,ns
10179,-0.17792919641586025,0.590488489405932,RBM7,ns
1018,-0.21439310832644143,0.43647596092563434,CDK3,ns
10180,-0.1091711881483235,0.6179512496738114,RBM6,ns
10181,-0.1355410965631787,0.3631392346769927,RBM5,ns
10184,0.9500881832833707,0.013822755138685893,LHFPL2,up
10186,-0.20466963975813623,0.23407018611228797,LHFPL6,ns
10188,-0.2938327738554918,0.32334781329335177,TNK2,ns
10189,0.8453383052203094,0.0016568518712744853,ALYREF,up
1019,0.5311549570777956,0.014053266905131848,CDK4,ns
10190,0.687024118894703,0.0025738121073201775,TXNDC9,up
101927245,0.2875461126808805,0.07858800781379865,LOC101927245,ns
101927322,-0.06879707323615758,0.7182126686704006,MALT1-AS1,ns
101927345,0.055420548199887065,0.8225266888591367,LOC101927345,ns
101927423,0.13239204648851555,0.39863516186472525,PANO1,ns
101927506,-0.5077278884069081,0.011691569534912663,LOC101927506,ns
101927509,0.5525314148136289,0.016430276541749587,HDLBP-AS1,ns
101927601,-0.30882636190692647,0.3277321596296624,GOLGA6L19,ns
101927789,0.3714347798812394,0.09543790592842669,FAUP4,ns
101927824,0.21467509735302404,0.13725262538110963,PFKP-DT,ns
101928095,-0.24041106436440085,0.6345558139152138,LOC101928095,ns
101928120,-0.19298153334052337,0.2143629664567796,PYGO2-AS1,ns
101928212,0.5925239689666011,0.013264662134724393,LOC101928212,up
101928448,-0.08039196170649454,0.7978070982638219,C5ORF67,ns
101928527,0.26486186672074474,0.05741625074761732,PIGBOS1,ns
101928991,0.020907230382893438,0.9415528656037117,CCDC92B,ns
101929141,-0.055375119514843085,0.8395416998995354,LOC101929141,ns
101929322,-0.5666972920558768,0.2237588699371419,LOC101929322,ns
101929355,-0.38760130569364115,0.22591570151893128,CFAP97D2,ns
101929400,-0.015391142756479681,0.9415327519646812,LOC101929400,ns
101929479,-0.02041700700421334,0.9337906697094986,LOC101929479,ns
101929599,-0.31537363854444234,0.6885200471384836,LOC101929599,ns
101929796,-0.39124622915173823,0.2013113492155541,NOTCH2NLR,ns
101929805,0.10683909877834363,0.5752833862688743,LOC101929805,ns
101929950,-0.06900510986499597,0.7305416661561945,LOC101929950,ns
101929959,0.2617097831744477,0.10676594357813624,BMS1P14,ns
10193,-0.21241731509507744,0.07613539974799077,RNF41,ns
10194,-0.9389492328602156,0.0011897519477994478,TSHZ1,down
10195,0.7696414249336296,0.01273292259136824,ALG3,up
10196,0.6656346547059959,0.0037155537951420103,PRMT3,up
10197,0.24577997185233436,0.10251521106169056,PSME3,ns
10198,0.40631944237488327,0.03533964203094873,MPHOSPH9,ns
10199,0.3041609766116231,0.17951425766239307,MPHOSPH10,ns
102,0.055397940761562126,0.855243039578414,ADAM10,ns
1020,0.45201751916472777,0.014202512981539087,CDK5,ns
10200,0.5256464076785674,0.005700792754191807,MPHOSPH6,ns
10201,0.02041573737488278,0.8785448118090624,NME6,ns
10203,-0.15390457070465224,0.6862640325894149,CALCRL,ns
10204,0.21767682534478183,0.293038879343154,NUTF2,ns
10205,-0.2712517091627875,0.36177528190451885,MPZL2,ns
10206,-0.04726361999353035,0.8017311019867048,TRIM13,ns
10207,-0.6292542369162817,0.0566153536014196,PATJ,ns
10208,0.04348648165548319,0.7873799022228809,USPL1,ns
10209,-0.8494346145859666,0.01688919804505329,EIF1,down
1021,0.12889043859227023,0.6095673188192832,CDK6,ns
10210,-0.5241577890954439,0.07935822910699268,TOPORS,ns
10211,0.1072016148481918,0.792043880831894,FLOT1,ns
10212,0.7933273731535753,0.0014855749123868585,DDX39A,up
10213,1.048606166386314,0.001062382686153709,PSMD14,up
102157402,0.8677201039738103,0.0024389174859233403,AK6,up
10216,0.37408737827635186,0.06489964534666469,PRG4,ns
10217,-1.6253844148702203,0.003448592826976618,CTDSPL,down
10219,-0.5771257061563606,0.14621141170995194,KLRG1,ns
1022,0.16149280689667656,0.35749155004334443,CDK7,ns
10220,-0.8111493962066127,3.868193431003617e-05,GDF11,down
10221,1.0176284910747597,0.10341383907561111,TRIB1,ns
10223,-0.688078967347062,0.022326607173758187,GPA33,down
10224,-0.13049594251941166,0.5360741403434003,ZNF443,ns
10225,-1.1551716899384896,0.00018882337458482458,CD96,down
10226,0.1459250484525434,0.5830522521001421,PLIN3,ns
10227,-0.416328686150532,0.05518267709580096,SLC75A1,ns
10228,-0.173866253804567,0.1959596057074478,STX6,ns
102288414,1.0008736594613925,2.6998896609693823e-05,C11ORF98,up
10229,0.029759728945204955,0.8125024220023688,COQ7,ns
10231,-0.06911095537707279,0.830468154447665,RCAN2,ns
10233,-0.18694008923149497,0.06177997977238512,LRRC23,ns
10235,-0.48817396334210983,0.06303369116737649,RASGRP2,ns
10236,0.3188065874030208,0.09429688472760167,HNRNPR,ns
10237,1.0889093467219695,0.0016655038407749434,SLC35B1,up
10238,0.2956727114268123,0.39636407139309404,DCAF7,ns
10239,0.1387734956193878,0.3637928826998749,AP3S2,ns
1024,0.04796979575933591,0.6621646861750373,CDK8,ns
10240,0.5087533784715266,0.03317558355239179,MRPS31,ns
10241,-0.2059800278428927,0.30297133526901554,CALCOCO2,ns
10243,0.28528490444252697,0.18218646742025812,GPHN,ns
10244,0.36681664216990484,0.015590764875550188,RABEPK,ns
10245,0.4171222501138363,0.04733363425090483,TIMM17B,ns
10247,0.6386522602853395,0.003478145393160242,RIDA,up
10248,0.4688000770363452,0.02899109039921298,POP7,ns
1025,-0.11328160512892538,0.49160342206410484,CDK9,ns
10250,-0.15777761923710543,0.3290451168011803,SRRM1,ns
10251,-0.3117837612462333,0.08194958140463036,SPRY3,ns
10252,-0.6058457384272637,0.0803169014065755,SPRY1,ns
10253,-0.2679071364047365,0.5859209643648156,SPRY2,ns
10254,0.2820153027188965,0.21044369435667906,STAM2,ns
10256,1.7721874208601953,0.0018521217235643388,CNKSR1,up
10257,0.3659793416169457,0.21375582728808024,ABCC4,ns
1026,0.021148832926519034,0.9706653153298006,CDKN1A,ns
10260,-0.07112016590258463,0.7372794121276275,DENND4A,ns
10261,-0.15846126125238058,0.7593818025084311,IGSF6,ns
10262,-0.08713302693312741,0.7673611341430873,SF3B4,ns
10263,0.41796220758991787,0.1497453383430272,CDK2AP2,ns
10267,-0.7237235067407513,0.011716182144650755,RAMP1,down
10269,0.690032514837144,0.002764701408407803,ZMPSTE24,up
1027,-0.5342023951179442,0.0018462648114996399,CDKN1B,ns
10270,0.032279194187914584,0.8177575336294803,AKAP8,ns
10272,0.382271245945045,0.17620919503822655,FSTL3,ns
102723360,-0.13725388369938418,0.73837784637887,LOC102723360,ns
102723407,3.3420537915435578,0.0005243656321182891,LOC102723407,up
102723451,-0.041012956373133846,0.8618588189137906,LOC102723451,ns
102723475,0.9566353852498652,0.003155573508148015,LOC102723475,up
102723534,0.6859648853352285,0.010338902857870712,LOC102723534,up
102723553,-0.2525859744265979,0.05060420459362497,LOC102723553,ns
102723555,-0.21235071075088285,0.39961748861623514,SPDYE16,ns
102723722,-0.13109586249692828,0.6288573908765658,LOC102723722,ns
102723728,0.06760225312002532,0.9423093671496526,LOC102723728,ns
102723750,-0.22580398139555768,0.3815012477657828,CLK3-AS1,ns
102723859,-0.22293458853952863,0.5083441881646409,TBC1D3E,ns
102723996,-0.17576464004948988,0.6592192113895249,LOC102723996,ns
102724023,0.3747155318523241,0.4655962925787286,LOC102724023,ns
102724151,-0.019308968474001098,0.9494654720851003,LOC102724151,ns
102724159,0.5248002406270711,0.4674310583681814,LOC102724159,ns
102724200,0.336524170949696,0.5797851121773536,LOC102724200,ns
