symbol,rho_DENV,padj_DENV,rho_ZIKV,padj_ZIKV,direction,mean_abs_rho,in_DE_core
PMAIP1,0.25321891149040043,1.197584098912485e-13,0.3385204375707044,4.326942279095625e-12,up_with_progression,0.2958696745305524,False
TGDS,0.23335217263064356,1.1557520099599245e-11,0.35834895713900394,1.5148918816481166e-13,up_with_progression,0.29585056488482375,False
BCAT1,0.3217210114241732,5.027964699824257e-22,0.26879592200261715,8.828060804639586e-08,up_with_progression,0.2952584667133952,False
ATF2,0.24386231603797767,1.0880744720677449e-12,0.3456913371412163,1.3366670348412364e-12,up_with_progression,0.294776826589597,False
EAF2,0.30604212176994466,7.052887539280076e-20,0.2832053047444043,1.4410237768129278e-08,up_with_progression,0.2946237132571745,False
CCND1,-0.35403362068786925,8.006451298262396e-27,-0.23448855138846753,4.394000883881708e-06,down_with_progression,0.29426108603816836,False
SH3BP2,0.265552170092918,5.66964132887486e-15,0.32218983746673174,5.840887662343382e-11,up_with_progression,0.2938710037798249,False
CD59,-0.3026397599216373,1.9595403166573089e-19,-0.2836151703407783,1.3677639023668646e-08,down_with_progression,0.2931274651312078,False
EXOSC8,0.33324679555287806,1.1204049474630814e-23,0.25270234661563545,6.037656628027381e-07,up_with_progression,0.29297457108425673,False
ASF1B,-0.33148640679510805,2.02821400363656e-23,-0.2542151767258593,5.065435293691233e-07,down_with_progression,0.2928507917604837,False
COPB1,0.2342637440040553,9.464110601537246e-12,0.35101986652615985,5.36052043506277e-13,up_with_progression,0.2926418052651076,False
DTYMK,-0.24316969659199417,1.2765263679400704e-12,-0.34168257998796103,2.5672786726069285e-12,down_with_progression,0.2924261382899776,False
G3BP1,-0.2718787787670048,1.1082922386640955e-15,-0.31261496444586856,2.432519670439432e-10,down_with_progression,0.2922468716064367,False
CCDC59,0.24418550491189667,1.0127136569657551e-12,0.34002434959806505,3.38324343235533e-12,up_with_progression,0.29210492725498083,False
ETFB,-0.22706884807906577,4.514175563540598e-11,-0.35706019986720205,1.89383068281118e-13,down_with_progression,0.2920645239731339,False
UBE2N,-0.3093514120667599,2.554828630811052e-20,-0.2744852833271838,4.384390688763949e-08,down_with_progression,0.2919183476969719,False
GMPPA,0.2543454795852281,9.133649579080947e-14,0.32890833498270916,2.080608440287921e-11,up_with_progression,0.2916269072839686,False
OSER1,0.2572324465911219,4.532817710115363e-14,0.32533321650476327,3.598919192643042e-11,up_with_progression,0.29128283154794254,False
GOLGA5,0.2884498034268527,1.2058834455731542e-17,0.2937556744308727,3.50415802473938e-09,up_with_progression,0.29110273892886274,False
RPN2,0.25691545796208787,4.908709196874573e-14,0.3249551476262195,3.817509153882059e-11,up_with_progression,0.2909353027941537,False
APTR,0.2532045275342498,1.1997042166985407e-13,0.32776290722014884,2.4760004163859845e-11,up_with_progression,0.29048371737719936,False
UBC,0.339954199493519,1.1622685225294446e-24,0.24064193711714413,2.278189402898316e-06,up_with_progression,0.29029806830533156,False
ZFAND6,0.24255805115543963,1.4607362444784066e-12,0.33769416769700383,4.954077914625972e-12,up_with_progression,0.29012610942622175,False
CCPG1,0.31545133440623485,3.739242648915082e-21,0.26473001860276296,1.45892995205822e-07,up_with_progression,0.29009067650449893,False
AURKAIP1,-0.21152707282898148,1.072035599548474e-09,-0.36700688735616827,3.2989503578273207e-14,down_with_progression,0.2892669800925749,False
BTD,-0.20358937491970464,4.9678492375488e-09,-0.3745405923350257,8.064517994327188e-15,down_with_progression,0.28906498362736516,False
POLR3H,-0.29493874815417775,1.9219827055586325e-18,-0.28295744782232396,1.4887684352012173e-08,down_with_progression,0.28894809798825083,False
CRBN,0.22702325815023003,4.5544951474296394e-11,0.34908732753409455,7.455360608231347e-13,up_with_progression,0.2880552928421623,False
PEG10,-0.31295024924811765,8.263325407575582e-21,-0.2628405133586402,1.836003763651037e-07,down_with_progression,0.28789538130337894,False
POLR3K,-0.29366960634830197,2.7705670703742306e-18,-0.2817745346170615,1.7360134131231927e-08,down_with_progression,0.2877220704826817,False
ADI1,-0.2193761536306683,2.2183602213006753e-10,-0.3540299052507864,3.18691064452684e-13,down_with_progression,0.28670302944072734,False
TCEA1,0.27065348827364466,1.523619922069014e-15,0.3025840183484209,1.0303071028178208e-09,up_with_progression,0.2866187533110328,False
IARS1,0.23001140621688518,2.382831588784221e-11,0.34259474662865846,2.2129047823900723e-12,up_with_progression,0.2863030764227718,False
MSH6,-0.24641379741139394,6.075987091123568e-13,-0.32569752609560776,3.394852724244185e-11,down_with_progression,0.28605566175350083,False
UNG,-0.3330844281469999,1.1748484445444012e-23,-0.23666154019547292,3.4941535672977217e-06,down_with_progression,0.2848729841712364,False
MKI67,-0.2721700974674046,1.0329770408086128e-15,-0.29736353543079025,2.115574277790393e-09,down_with_progression,0.2847668164490974,False
TUBB6,-0.2648192527221848,6.833327025230786e-15,-0.30409624818353154,8.341136637377124e-10,down_with_progression,0.28445775045285815,False
SYF2,0.34028949375956435,1.0362353015089922e-24,0.2281794705768979,8.442884970633167e-06,up_with_progression,0.2842344821682311,False
PNPLA8,0.21728394694613393,3.3845208378640733e-10,0.3486681437117574,7.989841558130493e-13,up_with_progression,0.28297604532894566,False
MXD1,0.2330763918526466,1.2301492184584146e-11,0.3313721194486426,1.395953288953367e-11,up_with_progression,0.2822242556506446,False
MYBL2,-0.30137692340882805,2.8397816070129448e-19,-0.26225844874376336,1.9619175141781976e-07,down_with_progression,0.2818176860762957,False
MYD88,-0.32107022823080705,6.147578632315981e-22,-0.24252997082069994,1.8644325815856062e-06,down_with_progression,0.28180009952575347,False
TBX15,0.2864250858868529,2.1546532954321982e-17,0.27567272507774115,3.779815195797463e-08,up_with_progression,0.281048905482297,True
TMED10,0.30177076792287505,2.539421396589688e-19,0.26025458779769106,2.495323270428161e-07,up_with_progression,0.28101267786028306,False
SH2B3,0.20788948271764468,2.1636907406812403e-09,0.35357051542329304,3.444163006741761e-13,up_with_progression,0.28072999907046886,False
TYMS,-0.2703796010368235,1.6347607811720838e-15,-0.28982091901997,6.00884644625726e-09,down_with_progression,0.2801002600283967,False
GOLPH3L,0.2901705488780248,7.500739345142835e-18,0.26968046963386155,7.931614351852609e-08,up_with_progression,0.2799255092559432,False
MIA3,0.34470396938297865,2.28384406211595e-25,0.21453491842331157,3.213683702539252e-05,up_with_progression,0.2796194439031451,False
TAX1BP3,-0.256842798317122,4.991495577246876e-14,-0.30238934177285887,1.0575007901780563e-09,down_with_progression,0.27961607004499045,False
CMTM7,-0.24812580623802252,4.060353873875731e-13,-0.31094311152023607,3.082034177625065e-10,down_with_progression,0.2795344588791293,False
BIRC5,-0.24659655112936726,5.839496894882497e-13,-0.31164216564570907,2.789981302471266e-10,down_with_progression,0.27911935838753815,False
AREG,0.3070027383759181,5.32287308840531e-20,0.25064985056292605,7.632846865158664e-07,up_with_progression,0.2788262944694221,False
CNN3,-0.3068886172952747,5.459393275007572e-20,-0.25071183330212704,7.581011215110514e-07,down_with_progression,0.27880022529870085,False
UCP2,-0.32815411522229215,6.032608304694073e-23,-0.22795534524532646,8.630450901953284e-06,down_with_progression,0.27805473023380933,False
MSTO1,0.24378216762381028,1.1039333868666227e-12,0.3120861522878228,2.620777445266946e-10,up_with_progression,0.27793415995581655,False
TFDP1,-0.3150082710841593,4.287453334096899e-21,-0.2404108364663397,2.334217050267165e-06,down_with_progression,0.27770955377524953,False
HNRNPAB,-0.2585509738105314,3.2756067476883556e-14,-0.2951717799896038,2.8780525468472156e-09,down_with_progression,0.2768613769000676,False
B4GAT1,-0.27667675804352815,3.1117377855179366e-16,-0.27702264248360564,3.1882848971424255e-08,down_with_progression,0.2768497002635669,False
TMEM106C,-0.2708351173238855,1.4573156884373933e-15,-0.28260022278809677,1.553596299613945e-08,down_with_progression,0.2767176700559911,False
